"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Monitor Full HD","12","4523.17","2142.21","54278.04","16/11/2023","FOB","","Concluída"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","PC de Escritório","28","12226.48","4870.9","342341.44","24/01/2024","CIF","159.43","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Notebook Gamer","","5124.86","2471.63","148620.94","03/08/2024","CIF","192.69","Concluída"
"Hugo Martins","Manaus","AM","181.125.206-47","","PC de Escritório","18","184.5","81.54","3321","11/05/2024","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","PC de Escritório","26","301.96","112.48","7850.96","18/08/2023","FOB","","Pendente"
"Mercado Novo Sul","Rio de Janeiro"," pa","","48.793.803/7889-04","Mini Projetor","21","8379.24","3476.57","175964.04","21/08/2023","FOB","","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Bolsa de Viagem","6","9620.95","4390.23","57725.7","10/03/2023","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Headset USB","10","8139.74","3076.89","81397.4","10/06/2024","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Headset USB","10","8139.74","3076.89","81397.4","10/06/2024","FOB","","Pendente"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Caneta Esferográfica","9","3394.72","2326.02","30552.48","12/07/2023","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Kit Gamer Completo","20","1818.68","1173.93","36373.6","09/12/2024","FOB","","Em Análise"
"Felipe Moreira","Manaus","AM","247.173.034-32","","Agenda 2025","10","6456.62","2522.79","64566.2","01/26/2023","CIF","172.81","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Smartphone Importado","6","4686.62","1725.45","28119.72","03/12/2023","CIF","150.65","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","PC Gamer","8","6570.66","4913.43","52565.28","13/06/2024","CIF","116.97","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Óculos de Sol","30","863.01","573.74","25890.3","11/30/2023","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Armário de Aço","17","8545.11","3305.87","145266.87","16/04/2023","CIF","63.9","Pendente"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Mesa Gamer","26","10181.19","3811.29","264710.94","27/07/2023","FOB","","Pendente"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Teclado Mecânico","9","9051.63","3976.7","81464.67","14/04/2023","FOB","","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","20","5242.17","4706.99","104843.4","11/24/2024","FOB","","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Kit Gamer Completo","26","1194.83","792.43","31065.58","11/19/2024","FOB","","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Estante de Livros","14","3060.51","1129.49","42847.14","08/11/2023","FOB","","Cancelada"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mesa de Escritório","28","1789.56","1365.18","50107.68","25/02/2023","CIF","121.36","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Lápis de Cor","14","1907.45","1224.15","26704.3","21/05/2023","CIF","188.36","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Agenda 2025","15","3238.4","2522.79","48576","28/01/2023","FOB","","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Drone Compacto","2","2028.23","1142.1","4056.46","07/07/2024","CIF","64.39","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Carteira Masculina","18","2983.48","1222.15","53702.64","08/02/2024","FOB","","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Drone Compacto","10","2038.59","896.51","20385.9","29/11/2024","CIF","173.03","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Cadeira Ergonômica","9","4334.41","1893.17","39009.69","13/04/2024","CIF","158.95","Cancelada"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Estojo Escolar","7","10001.07","3981.39","70007.49","01/02/2024","CIF","198.24","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Lápis de Cor","29","8490.05","4394.3","246211.45","28/11/2023","FOB","","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Pulseira Esportiva","22","8189.17","4831.31","180161.74","07/12/2023","CIF","136.76","Pendente"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Óculos de Sol","23","10952.94","4300.07","251917.62","28/06/2023","FOB","","Cancelada"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Mochila Executiva","7","1606.57","974.18","11245.99","21/06/2024","FOB","","Pendente"
"UniFlex Comercial","Manaus","Ba","","53.020.698/5267-01","Mesa Gamer","15","7123.38","3954.14","106850.7","28/05/2024","CIF","43.05","Concluída"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Caneta Esferográfica","7","6674.22","4492.84","46719.54","10/10/2024","CIF","60.89","Em Análise"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Lápis de Cor","4","2654.81","1224.15","10619.24","03/10/2023","CIF","125.15","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","PC de Escritório","12","145.13","112.48","1741.56","03/06/2024","CIF","41.72","Em Análise"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Relógio Digital","27","3376.74","1386.93","91171.98","03/19/2024","FOB","","Concluída"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Fone Bluetooth","4","8394.14","4669.59","33576.56","30/06/2023","CIF","139.56","Em Análise"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Caderno Universitário","9","1447.75","792.15","13029.75","29/01/2023","FOB","","Concluída"
"Moura & Filhos ME","Brasília","am ","","35.982.399/2390-09","Bloco de Notas","3","884.69","388.28","2654.07","10/09/2024","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","PC Gamer","12","2373.26","1137.49","28479.12","03/13/2024","FOB","","Em Análise"
"Solari Imports","Salvador"," pa","","85.760.510/7142-36","PC de Escritório","29","10616","4816.22","307864","23/01/2023","CIF","165.27","Concluída"
"Daniel Lobo","São Paulo","am ","550.369.280-76","","Carteira Masculina","18","9573.56","3637.77","172324.08","01/02/2024","CIF","117.83","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Caneta Esferográfica","4","2522.71","1747.81","10090.84","10/07/2023","FOB","","Cancelada"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Mini Projetor","10","9723.22","3476.57","97232.2","28/12/2023","CIF","164.04","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Teclado Mecânico","2","808.12","317.96","1616.24","21/09/2024","CIF","73.48","Cancelada"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Pulseira Esportiva","24","1823.36","962.37","43760.64","08/03/2024","CIF","169.31","Em Análise"
"Mirella Castro","Belém","am ","204.535.546-30","","Smartphone Importado","17","6682.98","2828.32","113610.66","20/07/2024","FOB","","Cancelada"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mesa Gamer","3","7366.4","3994.46","22099.2","21/10/2023","FOB","","Cancelada"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Mesa Gamer","13","1523.63","1106.61","19807.19","08/08/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Smartphone Importado","15","8201.43","4755.27","123021.45","12/10/2023","FOB","","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Drone Compacto","12","1587.95","1142.1","19055.4","06/07/2023","CIF","188.4","Concluída"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Relógio Digital","29","7117.05","3080.95","206394.45","25/03/2023","FOB","","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caixa de Som Smart","22","12857.88","4608.55","282873.36","17/11/2023","CIF","67.57","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caixa de Som Smart","22","12857.88","4608.55","282873.36","17/11/2023","CIF","67.57","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Lápis de Cor","26","11955.74","4394.3","310849.24","25/04/2023","CIF","114.51","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Caixa de Som Smart","19","11813.78","4985.88","224461.82","01/19/2023","FOB","","Concluída"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Bolsa de Viagem","17","8727.02","3263.71","148359.34","27/06/2024","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Drone Compacto","6","49.08","42.58","294.48","24/11/2024","CIF","129.41","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Smartphone Importado","22","4727.08","2975.47","103995.76","10/07/2024","CIF","124.56","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Mesa Gamer","25","2057.11","1677.63","51427.75","19/02/2023","FOB","","Pendente"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Estojo Escolar","26","922.22","387.85","23977.72","06/02/2024","CIF","178.01","Cancelada"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Lápis de Cor","15","4911.21","2192.98","73668.15","03/10/2024","CIF","40.78","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Bolsa de Viagem","24","4233.52","2377.28","101604.48","26/03/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Caneta Esferográfica","22","4651.69","1747.81","102337.18","03/11/2023","CIF","96.88","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Caderno Universitário","9","7378.46","3033","66406.14","23/08/2024","FOB","","Concluída"
"Patrícia Moura","Porto Alegre"," Df","446.073.750-07","","Marcador Permanente","25","12075.92","4397.9","301898","09/04/2023","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","PC de Escritório","11","222.55","81.54","2448.05","15/09/2023","CIF","175.23","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caixa de Som Smart","20","4738.96","2039.04","94779.2","03/04/2023","CIF","98.76","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Headset USB","9","7468.23","2814.14","67214.07","20/07/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Marcador Permanente","6","8941.16","4397.9","53646.96","08/02/2023","CIF","115.47","Cancelada"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Estojo Escolar","15","7782.61","3148.44","116739.15","07/13/2024","CIF","93.29","Cancelada"
"Hugo Martins","Manaus","AM","181.125.206-47","","","9","11779.6","4348.23","106016.4","17/05/2023","CIF","80.56","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Pulseira Esportiva","21","2318.83","1778.19","48695.43","03/10/2024","CIF","104.28","Pendente"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Mesa de Escritório","21","55.06","29.52","1156.26","07/30/2023","CIF","67.11","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Headset USB","7","4946.5","3076.89","34625.5","09/27/2023","CIF","65.38","Concluída"
"TechInfo Solutions","Manaus","Prr","","23.142.529/9475-25","Smartphone Importado","6","3481.66","1843.64","20889.96","25/02/2023","CIF","102.05","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Mouse Sem Fio","2","6136.27","2816.95","12272.54","07/02/2024","CIF","181.16","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Mouse Sem Fio","2","6136.27","2816.95","12272.54","07/02/2024","CIF","181.16","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Caneta Esferográfica","20","9198.23","3639.04","183964.6","21/01/2024","CIF","189.81","Em Análise"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Monitor Full HD","15","2367.21","2142.21","35508.15","03/08/2023","FOB","","Concluída"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Monitor Full HD","15","2367.21","2142.21","35508.15","03/08/2023","FOB","","Concluída"
"MaxxiTech Components","Salvador","RJ ","","33.181.017/5893-40","PC Gamer","1","1843.35","1403.17","1843.35","21/02/2023","CIF","68.92","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Óculos de Sol","11","11778.36","4300.07","129561.96","18/11/2024","FOB","","Concluída"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mouse Sem Fio","20","1496.97","701.69","29939.4","23/06/2024","FOB","","Cancelada"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Agenda 2025","2","3101.6","1904.26","6203.2","12/03/2024","FOB","","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Mesa de Escritório","18","1293.2","478.18","23277.6","30/07/2023","CIF","112.75","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Smartphone Importado","18","4171.67","2975.47","75090.06","10/07/2023","FOB","","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Estante de Livros","17","2157.4","1655.49","36675.8","09/29/2023","FOB","","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Agenda 2025","22","4185.04","1904.26","92070.88","13/11/2024","CIF","196.3","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Relógio Digital","18","10127.94","4464.78","182302.92","06/18/2023","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Bloco de Notas","5","1352.55","522.09","6762.75","05/06/2023","FOB","","Pendente"
"Prime Office Supplies","Belém"," pa","","15.193.269/0057-63","Headset USB","8","5028.81","3772.27","40230.48","14/05/2023","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Drone Compacto","3","5268.93","2554.13","15806.79","26/04/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Mesa de Escritório","18","5368.59","1980.8","96634.62","07/18/2023","CIF","191.1","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Pulseira Esportiva","7","706","575.3","4942","08/16/2024","CIF","104.71","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Estante de Livros","1","892.52","537.08","892.52","08/09/2024","FOB","","Cancelada"
"Renato Carvalho","Recife","PE","071.142.172-58","","Carteira Masculina","28","1922.23","1006.08","53822.44","21/06/2023","FOB","","Concluída"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Mesa de Escritório","8","878.13","315.62","7025.04","11/06/2023","CIF","36.36","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Monitor Full HD","4","6606.95","4550.05","26427.8","05/14/2023","FOB","","Cancelada"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Mouse Sem Fio","26","5124.43","3983.86","133235.18","19/07/2024","CIF","166.5","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Lápis de Cor","8","2784.42","1193.53","22275.36","21/02/2023","CIF","105.97","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Monitor Full HD","23","12529.67","4566.57","288182.41","18/03/2024","FOB","","Cancelada"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Lápis de Cor","12","1723.79","1193.53","20685.48","27/07/2024","CIF","28.87","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Caixa de Som Smart","10","3329.3","1338.79","33293","10/01/2023","CIF","101.61","Em Análise"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Marcador Permanente","4","2115.32","1029.34","8461.28","22/07/2023","CIF","57.41","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","PC Gamer","14","13112.15","4913.43","183570.1","11/26/2023","CIF","182.77","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bloco de Notas","24","197.97","101.6","4751.28","11/05/2023","FOB","","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Carteira Masculina","5","4737.74","2602.2","23688.7","11/05/2024","FOB","","Cancelada"
"Ana Paula Silva","Brasília","am ","862.295.268-57","","Agenda 2025","30","4283.67","1904.26","128510.1","07/14/2023","CIF","82.09","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Relógio Digital","29","9605.15","4675.67","278549.35","13/08/2024","CIF","151.23","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","","30","2269.31","1137.49","68079.3","25/10/2024","CIF","177.82","Em Análise"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Agenda 2025","20","902.11","375.79","18042.2","09/17/2023","FOB","","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Mesa de Escritório","7","4325.56","1980.8","30278.92","09/05/2023","CIF","107.23","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Drone Compacto","3","2602.14","1186.41","7806.42","09/11/2024","CIF","171.09","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Monitor Full HD","29","3081.24","2421.74","89355.96","03/04/2023","CIF","125.39","Concluída"
"Fernanda Almeida","Recife"," Df","726.932.467-29","","Drone Compacto","24","1903.01","1186.41","45672.24","09/20/2024","CIF","51.89","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Pulseira Esportiva","20","7190.87","4248.1","143817.4","27/02/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Lápis de Cor","19","5155.85","3354.31","97961.15","24/06/2023","CIF","122.08","Cancelada"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Notebook Gamer","20","953.8","646.73","19076","10/10/2023","CIF","147.24","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Mesa de Escritório","27","36.65","29.52","989.55","12/01/2024","CIF","123.64","Pendente"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Estojo Escolar","27","928.55","387.85","25070.85","19/11/2023","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Monitor Full HD","15","4279.78","2017.84","64196.7","28/08/2024","CIF","77.74","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Pulseira Esportiva","16","1963.13","1343.47","31410.08","10/19/2024","FOB","","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Caderno Universitário","22","3266.11","1559.44","71854.42","16/08/2023","FOB","","Cancelada"
"Camila Pires","Manaus","AM","899.777.131-83","","Smartphone Importado","15","3997.47","1843.64","59962.05","16/05/2023","CIF","137.44","Pendente"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","","11","3860.55","2522.79","42466.05","15/02/2023","CIF","27.77","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mochila Executiva","8","4733.18","2105.33","37865.44","12/08/2024","CIF","141.35","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Kit Gamer Completo","3","2481.75","1173.93","7445.25","02/02/2023","FOB","","Concluída"
"Fortline Comércio Geral","Belém"," Rs","","62.057.831/3216-20","Notebook Gamer","29","9372.47","3642.58","271801.63","19/03/2024","CIF","180.16","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Relógio Digital","9","185","85.11","1665","14/07/2024","FOB","","Pendente"
"Felipe Moreira","Manaus","AM","247.173.034-32","","Lápis de Cor","26","10698.92","4686.16","278171.92","05/12/2023","CIF","104.07","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Relógio Digital","8","177.76","86.7","1422.08","24/07/2023","CIF","188.33","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Mochila Executiva","27","5851.73","2639.54","157996.71","24/04/2024","FOB","","Cancelada"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","PC de Escritório","1","2243.01","871.59","2243.01","13/08/2024","FOB","","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Estojo Escolar","25","3241.13","2166.8","81028.25","08/04/2024","CIF","104.04","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Mini Projetor","28","4732.78","1788.53","132517.84","30/08/2024","CIF","51.24","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Kit Gamer Completo","28","2464.25","1173.93","68999","11/29/2024","FOB","","Cancelada"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Lápis de Cor","19","9168.93","4394.3","174209.67","04/25/2023","FOB","","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Teclado Mecânico","27","6274.65","2330.93","169415.55","11/19/2023","CIF","94.14","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Pulseira Esportiva","28","12153.02","4831.31","340284.56","07/11/2024","FOB","","Pendente"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Agenda 2025","4","3071.66","1488.27","12286.64","23/01/2024","CIF","113.94","Pendente"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","PC de Escritório","5","82.08","47.89","410.4","23/12/2023","FOB","","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Óculos de Sol","8","3965.6","1856.92","31724.8","28/01/2023","CIF","100.11","Em Análise"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Relógio Digital","18","4905.44","3080.95","88297.92","08/09/2023","CIF","147.14","Cancelada"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Lápis de Cor","18","2406.93","1224.15","43324.74","01/26/2024","FOB","","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","PC Gamer","12","1835.42","1403.17","22025.04","12/01/2024","CIF","181.76","Concluída"
"Hugo Martins","Manaus","AM","181.125.206-47","","Headset USB","9","4291.49","2814.14","38623.41","02/11/2023","FOB","","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Armário de Aço","5","2106.81","1310.02","10534.05","28/04/2023","CIF","109.13","Em Análise"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Marcador Permanente","22","6645.56","2975.84","146202.32","15/08/2023","FOB","","Em Análise"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Monitor Full HD","15","4907.25","3960.4","73608.75","11/14/2023","CIF","33.48","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Monitor Full HD","15","4907.25","3960.4","73608.75","11/14/2023","CIF","33.48","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Carteira Masculina","18","4301.67","2611.38","77430.06","06/26/2023","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Smartphone Importado","28","4002.98","2603.36","112083.44","17/10/2023","FOB","","Cancelada"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Agenda 2025","8","4525.28","3096.3","36202.24","24/03/2023","CIF","155.3","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Fone Bluetooth","21","626.96","283.49","13166.16","01/05/2024","CIF","182.62","Concluída"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Notebook Gamer","20","1165.78","646.73","23315.6","12/06/2023","FOB","","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","PC de Escritório","6","5115.02","2333.62","30690.12","06/20/2024","CIF","33.59","Concluída"
"Larissa Ferreira","Manaus","Ce","450.010.242-24","","Mesa Gamer","25","9219.41","3811.29","230485.25","10/27/2023","CIF","179.48","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Pulseira Esportiva","28","163.13","75.48","4567.64","07/03/2024","CIF","89.63","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Lápis de Cor","2","2289.09","1447.99","4578.18","21/06/2023","CIF","68.89","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Mini Projetor","27","2114.9","1331.14","57102.3","11/04/2024","CIF","83.39","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","","15","113.17","85.11","1697.55","27/10/2023","CIF","46.51","Em Análise"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Mesa Gamer","5","4660.02","1677.63","23300.1","07/10/2024","CIF","172.27","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","5","5255.95","3033","26279.75","07/26/2023","CIF","63.03","Cancelada"
"Global Trade Importações","Porto Alegre","Ba","","36.069.625/1720-12","Notebook Comum","26","4484.24","2512.43","116590.24","11/29/2023","CIF","149.02","Cancelada"
"Prime Office Supplies","Belém"," pa","","15.193.269/0057-63","Carteira Masculina","5","4075.14","2611.38","20375.7","09/05/2024","FOB","","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Lápis de Cor","18","3025.01","2192.98","54450.18","12/10/2024","CIF","148.28","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Relógio Digital","19","219.53","86.7","4171.07","26/10/2023","FOB","","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Monitor Full HD","24","4026.12","3155.39","96626.88","04/02/2024","CIF","116.65","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Monitor Full HD","26","5084.42","3155.39","132194.92","18/09/2023","FOB","","Em Análise"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Teclado Mecânico","11","6250.74","2330.93","68758.14","08/01/2024","CIF","177.11","Concluída"
"Comercial Andrade Ltda","Curitiba"," Df","","55.537.611/1556-06","Mesa Gamer","12","5785.13","2914.11","69421.56","21/01/2024","CIF","157.29","Cancelada"
"Renato Carvalho","Recife","PE","071.142.172-58","","Mesa Gamer","3","10049.24","4489.45","30147.72","14/10/2024","FOB","","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","PC de Escritório","10","8914.54","4870.9","89145.4","08/10/2023","CIF","122.48","Em Análise"
"MaxxiTech Components","Salvador","BA","","33.181.017/5893-40","Lápis de Cor","26","2891.29","1193.53","75173.54","11/11/2023","CIF","178.15","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","Ba","","48.793.803/7889-04","PC Gamer","1","631.29","259.95","631.29","25/11/2023","FOB","","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Teclado Mecânico","19","5769.87","3691.1","109627.53","09/27/2024","FOB","","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Pulseira Esportiva","12","6530.31","3664.25","78363.72","26/01/2024","CIF","114.73","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Agenda 2025","19","7643.9","3096.3","145234.1","02/07/2023","CIF","123.9","Concluída"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Agenda 2025","19","7643.9","3096.3","145234.1","02/07/2023","CIF","123.9","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","PC Gamer","25","2622.98","1137.49","65574.5","23/07/2024","CIF","142.13","Concluída"
"Hugo Martins","Manaus","AM","181.125.206-47","","PC Gamer","12","2695.1","1137.49","32341.2","09/01/2024","CIF","62.46","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Mouse Sem Fio","20","4747.66","3983.86","94953.2","11/04/2024","FOB","","Cancelada"
